timestamp,traffic_volume,incidents,congestion
2024-08-01 08:00:00,450,5,70
2024-08-01 09:00:00,650,4,75
2024-08-01 10:00:00,550,3,65
2024-08-01 11:00:00,700,6,80
2024-08-01 12:00:00,800,7,85
2024-08-01 13:00:00,750,6,78
2024-08-01 14:00:00,600,5,70
2024-08-01 15:00:00,850,8,90
2024-08-01 16:00:00,950,9,95
2024-08-01 17:00:00,1000,10,100
2024-08-01 18:00:00,850,7,85
2024-08-01 19:00:00,700,5,75

2024-08-02 08:00:00,460,4,72
2024-08-02 09:00:00,670,5,76
2024-08-02 10:00:00,560,2,68
2024-08-02 11:00:00,710,3,73
2024-08-02 12:00:00,790,6,82
2024-08-02 13:00:00,760,4,77
2024-08-02 14:00:00,620,3,71
2024-08-02 15:00:00,840,7,88
2024-08-02 16:00:00,940,8,93
2024-08-02 17:00:00,990,9,99
2024-08-02 18:00:00,860,6,84
2024-08-02 19:00:00,720,4,78

2024-08-03 08:00:00,470,3,74
2024-08-03 09:00:00,680,6,78
2024-08-03 10:00:00,570,4,70
2024-08-03 11:00:00,720,5,76
2024-08-03 12:00:00,800,7,83
2024-08-03 13:00:00,770,5,80
2024-08-03 14:00:00,630,4,72
2024-08-03 15:00:00,850,8,87
2024-08-03 16:00:00,950,9,92
2024-08-03 17:00:00,1000,10,98
2024-08-03 18:00:00,870,7,86
2024-08-03 19:00:00,730,5,79

2024-08-04 08:00:00,480,2,76
2024-08-04 09:00:00,690,4,80
2024-08-04 10:00:00,580,3,72
2024-08-04 11:00:00,730,4,78
2024-08-04 12:00:00,810,6,85
2024-08-04 13:00:00,780,4,82
2024-08-04 14:00:00,640,3,74
2024-08-04 15:00:00,860,7,89
2024-08-04 16:00:00,960,8,94
2024-08-04 17:00:00,1010,9,97
2024-08-04 18:00:00,880,6,87
2024-08-04 19:00:00,740,4,81

2024-08-05 08:00:00,490,3,77
2024-08-05 09:00:00,700,5,82
2024-08-05 10:00:00,590,2,74
2024-08-05 11:00:00,740,3,80
2024-08-05 12:00:00,820,7,88
2024-08-05 13:00:00,790,5,85
2024-08-05 14:00:00,650,4,76
2024-08-05 15:00:00,870,8,90
2024-08-05 16:00:00,970,9,96
2024-08-05 17:00:00,1020,10,99
2024-08-05 18:00:00,890,7,89
2024-08-05 19:00:00,750,5,83

2024-08-06 08:00:00,500,4,78
2024-08-06 09:00:00,710,6,84
2024-08-06 10:00:00,600,3,76
2024-08-06 11:00:00,750,5,83
2024-08-06 12:00:00,830,8,90
2024-08-06 13:00:00,800,6,88
2024-08-06 14:00:00,660,5,79
2024-08-06 15:00:00,880,9,92
2024-08-06 16:00:00,980,10,98
2024-08-06 17:00:00,1030,11,100
2024-08-06 18:00:00,900,8,90
2024-08-06 19:00:00,760,6,84

2024-08-07 08:00:00,510,5,80
2024-08-07 09:00:00,720,7,86
2024-08-07 10:00:00,610,4,78
2024-08-07 11:00:00,760,6,84
2024-08-07 12:00:00,840,9,91
2024-08-07 13:00:00,810,7,88
2024-08-07 14:00:00,670,6,80
2024-08-07 15:00:00,890,10,94
2024-08-07 16:00:00,990,11,97
2024-08-07 17:00:00,1040,12,99
2024-08-07 18:00:00,910,9,91
2024-08-07 19:00:00,770,7,85
